Name,Date,LogReturn,Volatility_7d,Volatility_30d,Momentum_7d,Momentum_30d,Close_lag1,Close_lag7,Close_lag30,Volume_lag1,Volume_lag7,Volume_lag30,Bollinger_Width,DayOfWeek,Month,Close
Bitcoin,2013-04-29 23:59:59,-0.003573173362104375,-0.4711328642799851,-0.5181364514026864,-0.03262019167547374,-0.06854878404917135,-0.03998869340121936,-0.04343083804795663,-0.07775614477511189,-0.402533964896162,-0.4013347705816227,-0.40190219673453353,-0.41287643043045574,-1.4989260084288538,-0.7301782181177711,144.5399932861328
Bitcoin,2013-04-30 23:59:59,-0.7292961974525721,-0.4711328642799851,-0.5181364514026864,-1.8368235859794135,-3.1701609197266487,-0.3234405239479631,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,-0.831533198126336,-0.9990793684948872,-0.7301782181177711,139.0
Bitcoin,2013-05-01 23:59:59,-3.090928460405232,1.4530740993227662,1.575664098713403,-4.813777848205555,-8.306402493472305,-0.3241759065452926,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,0.31561213438622077,-0.49923272856092066,-0.43856537405464785,116.98999786376952
Bitcoin,2013-05-02 23:59:59,-1.9171315130788618,0.6455516304133091,0.6177911059261898,-4.81967653404257,-8.31657969901791,-0.327097529677704,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,0.837335221348533,0.0006139113730458662,-0.43856537405464785,105.20999908447266
Bitcoin,2013-05-03 23:59:59,-1.339848398291223,0.3564994032705684,0.2749209907962159,-4.458778919067299,-7.693910631702282,-0.3286612149840638,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,1.1716462500382583,0.5004605513070124,-0.43856537405464785,97.75
Bitcoin,2013-05-04 23:59:59,2.452937523670559,2.1292072982372763,2.3776847925049602,-2.329842659176817,-4.020783682910269,-0.32965146049871946,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,0.9793079268075796,1.0003071912409789,-0.43856537405464785,112.5
Bitcoin,2013-05-05 23:59:59,0.49211763918303175,1.9118496171632624,2.1198578458977333,-1.7344552982338648,-2.9935413921700973,-0.3276935351456759,-0.04343083804795663,-0.07775614477511189,-0.47287177427645266,-0.4013347705816227,-0.40190219673453353,0.8017172769846269,1.5001538311749454,-0.43856537405464785,115.91000366210938
Bitcoin,2013-05-06 23:59:59,-0.5974494760446438,1.632206055265333,1.7881481711061584,-1.7015938213894288,-2.936844355979539,-0.32724088886608166,-0.32219824055669416,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.6847621574329412,-1.4989260084288538,-0.43856537405464785,112.3000030517578
Bitcoin,2013-05-07 23:59:59,-0.16356310501628513,1.6486878743303042,1.549222489358111,-1.4978410952734027,-2.6584100387423955,-0.3277200828809637,-0.3229384714080777,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.5916181004762593,-0.9990793684948872,-0.43856537405464785,111.5
Bitcoin,2013-05-08 23:59:59,0.2883587065145203,1.041425444840612,1.396062606327917,-0.2807672104425489,-2.223434261613385,-0.3278262758475772,-0.32587935631150117,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.4993256194998769,-0.49923272856092066,-0.43856537405464785,113.56600189208984
Bitcoin,2013-05-09 23:59:59,-0.1772348829405375,0.652077606464631,1.2266453628527099,0.34586871786086165,-2.0779746833548205,-0.32755203330629185,-0.32745335073267184,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.42381307625066944,0.0006139113730458662,-0.43856537405464785,112.66999816894533
Bitcoin,2013-05-10 23:59:59,0.6614466552866025,0.33956987091885765,1.1572581930026489,1.0666491148020656,-1.6273218004491743,-0.3276709694694082,-0.32845012476982494,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.3467254659440658,0.5004605513070124,-0.43856537405464785,117.1999969482422
Bitcoin,2013-05-11 23:59:59,-0.33522723044722796,-0.5395750313578593,1.0246235005329514,0.06247209721651648,-1.613050308784094,-0.3270696542518325,-0.3264792911435032,-0.07775614477511189,-0.47287177427645266,-0.4708375486339668,-0.40190219673453353,0.2820310378232048,1.0003071912409789,-0.43856537405464785,115.24299621582033
